Id,Latitude,Longitude,Zone,Franchisee
4648,40.643906,-74.080583,B,Crown Castle NG East LLC
4649,40.814892,-73.925705,C,Crown Castle NG East LLC
4651,40.884088,-73.916967,B,Crown Castle NG East LLC
4652,40.611091,-74.105687,B,Crown Castle NG East LLC
4653,40.635922,-74.165147,B,Crown Castle NG East LLC
4654,40.821815,-73.820977,B,Crown Castle NG East LLC
4655,40.623706,-74.14343,B,Crown Castle NG East LLC
4656,40.866499,-73.901084,C,Crown Castle NG East LLC
4657,40.865103,-73.906263,C,Crown Castle NG East LLC
4658,40.880318,-73.910332,B,Crown Castle NG East LLC
4659,40.90755,-73.896946,B,Crown Castle NG East LLC
4660,40.827534,-73.862638,B,Crown Castle NG East LLC
4661,40.872028,-73.84066,B,Crown Castle NG East LLC
4662,40.908188,-73.901753,B,Crown Castle NG East LLC
4663,40.831688,-73.847918,B,Crown Castle NG East LLC
4664,40.816781,-73.81608,B,Crown Castle NG East LLC
4665,40.606783,-74.087997,B,Crown Castle NG East LLC
4666,40.847606,-73.869529,B,Crown Castle NG East LLC
4667,40.84931,-73.884934,C,Crown Castle NG East LLC
4668,40.861435,-73.824652,B,Crown Castle NG East LLC
4669,40.825526,-73.821516,B,Crown Castle NG East LLC
4671,40.8182,-73.894122,C,Crown Castle NG East LLC
4672,40.621234,-74.110036,B,Crown Castle NG East LLC
4673,40.842211,-73.856503,B,Crown Castle NG East LLC
4674,40.855506,-73.914219,C,Crown Castle NG East LLC
4675,40.822431,-73.912701,C,Crown Castle NG East LLC
4676,40.845591,-73.848931,B,Crown Castle NG East LLC
4677,40.616705,-74.142587,B,Crown Castle NG East LLC
4678,40.870667,-73.869401,B,Crown Castle NG East LLC
4679,40.624987,-74.075636,B,Crown Castle NG East LLC
4680,40.830106,-73.929486,C,Crown Castle NG East LLC
4681,40.645453,-74.103176,B,Crown Castle NG East LLC
4682,40.82933,-73.826391,B,Crown Castle NG East LLC
4683,40.815251,-73.810359,B,Crown Castle NG East LLC
4684,40.848385,-73.851112,B,Crown Castle NG East LLC
4685,40.614707,-74.15543,B,Crown Castle NG East LLC
4686,40.632116,-74.092891,B,Crown Castle NG East LLC
4687,40.857769,-73.893368,C,Crown Castle NG East LLC
4688,40.822637,-73.920197,C,Crown Castle NG East LLC
4689,40.826728,-73.907506,C,Crown Castle NG East LLC
4690,40.63505,-74.125256,B,Crown Castle NG East LLC
4691,40.815278,-73.902461,C,Crown Castle NG East LLC
4692,40.838494,-73.910945,C,Crown Castle NG East LLC
4693,40.628502,-74.07725,B,Crown Castle NG East LLC
4694,40.889012,-73.818662,B,Crown Castle NG East LLC
4695,40.60907,-74.0833,B,Crown Castle NG East LLC
4697,40.623504,-74.172861,B,Crown Castle NG East LLC
4698,40.881914,-73.896421,B,Crown Castle NG East LLC
